image,actual,predicted,is_correct
1 (16).jpg,No Impairment,Mild Impairment,False
1 (21).jpg,No Impairment,Mild Impairment,False
1 (28).jpg,No Impairment,No Impairment,True
1 (33).jpg,No Impairment,No Impairment,True
1 (35).jpg,No Impairment,Mild Impairment,False
1 (47).jpg,No Impairment,No Impairment,True
1 (56).jpg,No Impairment,No Impairment,True
1 (57).jpg,No Impairment,Very Mild Impairment,False
1 (59).jpg,No Impairment,Very Mild Impairment,False
1 (64).jpg,No Impairment,Very Mild Impairment,False
1 (68).jpg,No Impairment,No Impairment,True
1 (72).jpg,No Impairment,Moderate Impairment,False
1 (73).jpg,No Impairment,Moderate Impairment,False
1 (74).jpg,No Impairment,Mild Impairment,False
1 (77).jpg,No Impairment,Very Mild Impairment,False
1 (82).jpg,No Impairment,No Impairment,True
1 (87).jpg,No Impairment,Mild Impairment,False
1 (9).jpg,No Impairment,Moderate Impairment,False
1 (93).jpg,No Impairment,Moderate Impairment,False
10 (14).jpg,No Impairment,Mild Impairment,False
10 (16).jpg,No Impairment,Very Mild Impairment,False
10 (21).jpg,No Impairment,Very Mild Impairment,False
10 (23).jpg,No Impairment,Mild Impairment,False
10 (29).jpg,No Impairment,No Impairment,True
10 (34).jpg,No Impairment,No Impairment,True
10 (42).jpg,No Impairment,Mild Impairment,False
10 (43).jpg,No Impairment,Mild Impairment,False
10 (46).jpg,No Impairment,Very Mild Impairment,False
10 (50).jpg,No Impairment,Mild Impairment,False
10 (52).jpg,No Impairment,Mild Impairment,False
10 (6).jpg,No Impairment,No Impairment,True
10 (61).jpg,No Impairment,Very Mild Impairment,False
10 (67).jpg,No Impairment,Moderate Impairment,False
10 (73).jpg,No Impairment,Moderate Impairment,False
10 (80).jpg,No Impairment,Mild Impairment,False
10 (9).jpg,No Impairment,Mild Impairment,False
10 (90).jpg,No Impairment,Mild Impairment,False
11 (10).jpg,No Impairment,Mild Impairment,False
11 (2).jpg,No Impairment,Moderate Impairment,False
11 (20).jpg,No Impairment,Mild Impairment,False
11 (27).jpg,No Impairment,No Impairment,True
11 (30).jpg,No Impairment,Mild Impairment,False
11 (31).jpg,No Impairment,Mild Impairment,False
11 (33).jpg,No Impairment,No Impairment,True
11 (41).jpg,No Impairment,No Impairment,True
11 (44).jpg,No Impairment,No Impairment,True
11 (51).jpg,No Impairment,No Impairment,True
11 (52).jpg,No Impairment,Mild Impairment,False
11 (54).jpg,No Impairment,Very Mild Impairment,False
11 (55).jpg,No Impairment,Very Mild Impairment,False
11 (60).jpg,No Impairment,Mild Impairment,False
11 (63).jpg,No Impairment,Moderate Impairment,False
11 (64).jpg,No Impairment,Mild Impairment,False
11 (66).jpg,No Impairment,Mild Impairment,False
11 (68).jpg,No Impairment,No Impairment,True
11 (72).jpg,No Impairment,Mild Impairment,False
11 (91).jpg,No Impairment,No Impairment,True
11 (94).jpg,No Impairment,Mild Impairment,False
11.jpg,No Impairment,No Impairment,True
12 (16).jpg,No Impairment,Very Mild Impairment,False
12 (2).jpg,No Impairment,Mild Impairment,False
12 (24).jpg,No Impairment,Very Mild Impairment,False
12 (3).jpg,No Impairment,No Impairment,True
12 (31).jpg,No Impairment,Mild Impairment,False
12 (4).jpg,No Impairment,No Impairment,True
12 (59).jpg,No Impairment,No Impairment,True
12 (64).jpg,No Impairment,Moderate Impairment,False
12 (68).jpg,No Impairment,Mild Impairment,False
12 (8).jpg,No Impairment,Mild Impairment,False
12 (80).jpg,No Impairment,Mild Impairment,False
12 (83).jpg,No Impairment,No Impairment,True
12 (89).jpg,No Impairment,No Impairment,True
12 (9).jpg,No Impairment,Moderate Impairment,False
12 (91).jpg,No Impairment,No Impairment,True
12 (95).jpg,No Impairment,Mild Impairment,False
12 (99).jpg,No Impairment,No Impairment,True
13 (100).jpg,No Impairment,Mild Impairment,False
13 (14).jpg,No Impairment,Moderate Impairment,False
13 (21).jpg,No Impairment,Mild Impairment,False
13 (26).jpg,No Impairment,No Impairment,True
13 (27).jpg,No Impairment,Very Mild Impairment,False
13 (32).jpg,No Impairment,Mild Impairment,False
13 (38).jpg,No Impairment,No Impairment,True
13 (42).jpg,No Impairment,No Impairment,True
13 (45).jpg,No Impairment,Mild Impairment,False
13 (48).jpg,No Impairment,Mild Impairment,False
13 (60).jpg,No Impairment,Mild Impairment,False
13 (65).jpg,No Impairment,Mild Impairment,False
13 (67).jpg,No Impairment,Very Mild Impairment,False
13 (69).jpg,No Impairment,Mild Impairment,False
13 (74).jpg,No Impairment,No Impairment,True
13 (94).jpg,No Impairment,Mild Impairment,False
13 (98).jpg,No Impairment,No Impairment,True
14 (100).jpg,No Impairment,Very Mild Impairment,False
14 (15).jpg,No Impairment,Mild Impairment,False
14 (2).jpg,No Impairment,Very Mild Impairment,False
14 (20).jpg,No Impairment,Mild Impairment,False
14 (28).jpg,No Impairment,No Impairment,True
14 (34).jpg,No Impairment,Mild Impairment,False
14 (35).jpg,No Impairment,No Impairment,True
14 (44).jpg,No Impairment,No Impairment,True
14 (48).jpg,No Impairment,Very Mild Impairment,False
14 (51).jpg,No Impairment,No Impairment,True
14 (53).jpg,No Impairment,Very Mild Impairment,False
14 (54).jpg,No Impairment,No Impairment,True
14 (57).jpg,No Impairment,No Impairment,True
14 (58).jpg,No Impairment,No Impairment,True
14 (60).jpg,No Impairment,Mild Impairment,False
14 (79).jpg,No Impairment,Very Mild Impairment,False
14 (83).jpg,No Impairment,No Impairment,True
14 (88).jpg,No Impairment,Moderate Impairment,False
14 (91).jpg,No Impairment,No Impairment,True
14 (97).jpg,No Impairment,Mild Impairment,False
14 (99).jpg,No Impairment,No Impairment,True
15 (18).jpg,No Impairment,Mild Impairment,False
15 (2).jpg,No Impairment,Moderate Impairment,False
15 (23).jpg,No Impairment,Moderate Impairment,False
15 (27).jpg,No Impairment,Mild Impairment,False
15 (3).jpg,No Impairment,Very Mild Impairment,False
15 (33).jpg,No Impairment,No Impairment,True
15 (40).jpg,No Impairment,No Impairment,True
15 (5).jpg,No Impairment,No Impairment,True
15 (55).jpg,No Impairment,Mild Impairment,False
15 (56).jpg,No Impairment,No Impairment,True
15 (66).jpg,No Impairment,Mild Impairment,False
15 (70).jpg,No Impairment,Mild Impairment,False
15 (76).jpg,No Impairment,No Impairment,True
15 (79).jpg,No Impairment,Very Mild Impairment,False
15 (8).jpg,No Impairment,Moderate Impairment,False
15 (84).jpg,No Impairment,Mild Impairment,False
15 (93).jpg,No Impairment,Very Mild Impairment,False
16 (11).jpg,No Impairment,No Impairment,True
16 (12).jpg,No Impairment,No Impairment,True
16 (14).jpg,No Impairment,Very Mild Impairment,False
16 (15).jpg,No Impairment,No Impairment,True
16 (16).jpg,No Impairment,Very Mild Impairment,False
16 (27).jpg,No Impairment,Very Mild Impairment,False
16 (29).jpg,No Impairment,No Impairment,True
16 (31).jpg,No Impairment,Mild Impairment,False
16 (32).jpg,No Impairment,Mild Impairment,False
16 (39).jpg,No Impairment,No Impairment,True
16 (44).jpg,No Impairment,Very Mild Impairment,False
16 (5).jpg,No Impairment,No Impairment,True
16 (50).jpg,No Impairment,No Impairment,True
16 (52).jpg,No Impairment,Mild Impairment,False
16 (54).jpg,No Impairment,No Impairment,True
16 (56).jpg,No Impairment,Very Mild Impairment,False
16 (61).jpg,No Impairment,No Impairment,True
16 (64).jpg,No Impairment,No Impairment,True
16 (65).jpg,No Impairment,Very Mild Impairment,False
16 (70).jpg,No Impairment,Mild Impairment,False
16 (72).jpg,No Impairment,No Impairment,True
16 (77).jpg,No Impairment,No Impairment,True
16 (8).jpg,No Impairment,Mild Impairment,False
16 (83).jpg,No Impairment,No Impairment,True
16 (89).jpg,No Impairment,No Impairment,True
16 (92).jpg,No Impairment,Mild Impairment,False
16 (95).jpg,No Impairment,Mild Impairment,False
16 (98).jpg,No Impairment,No Impairment,True
17 (12).jpg,No Impairment,No Impairment,True
17 (17).jpg,No Impairment,Mild Impairment,False
17 (25).jpg,No Impairment,Mild Impairment,False
17 (27).jpg,No Impairment,Mild Impairment,False
17 (28).jpg,No Impairment,No Impairment,True
17 (34).jpg,No Impairment,No Impairment,True
17 (39).jpg,No Impairment,No Impairment,True
17 (51).jpg,No Impairment,No Impairment,True
17 (67).jpg,No Impairment,Mild Impairment,False
17 (72).jpg,No Impairment,No Impairment,True
17 (76).jpg,No Impairment,No Impairment,True
17 (79).jpg,No Impairment,No Impairment,True
17 (80).jpg,No Impairment,No Impairment,True
17 (87).jpg,No Impairment,No Impairment,True
17 (92).jpg,No Impairment,Moderate Impairment,False
17 (93).jpg,No Impairment,Mild Impairment,False
17 (97).jpg,No Impairment,Moderate Impairment,False
17 (99).jpg,No Impairment,Mild Impairment,False
17.jpg,No Impairment,Mild Impairment,False
18 (12).jpg,No Impairment,No Impairment,True
18 (17).jpg,No Impairment,Mild Impairment,False
18 (18).jpg,No Impairment,No Impairment,True
18 (2).jpg,No Impairment,No Impairment,True
18 (27).jpg,No Impairment,No Impairment,True
18 (3).jpg,No Impairment,Very Mild Impairment,False
18 (31).jpg,No Impairment,Mild Impairment,False
18 (32).jpg,No Impairment,Very Mild Impairment,False
18 (34).jpg,No Impairment,No Impairment,True
18 (35).jpg,No Impairment,No Impairment,True
18 (36).jpg,No Impairment,Very Mild Impairment,False
18 (38).jpg,No Impairment,No Impairment,True
18 (39).jpg,No Impairment,No Impairment,True
18 (4).jpg,No Impairment,No Impairment,True
18 (43).jpg,No Impairment,No Impairment,True
18 (44).jpg,No Impairment,No Impairment,True
18 (46).jpg,No Impairment,Mild Impairment,False
18 (50).jpg,No Impairment,Very Mild Impairment,False
18 (72).jpg,No Impairment,No Impairment,True
18 (73).jpg,No Impairment,Moderate Impairment,False
18 (80).jpg,No Impairment,Very Mild Impairment,False
18 (84).jpg,No Impairment,Mild Impairment,False
18 (85).jpg,No Impairment,Very Mild Impairment,False
18 (86).jpg,No Impairment,No Impairment,True
18 (88).jpg,No Impairment,Mild Impairment,False
18 (97).jpg,No Impairment,Mild Impairment,False
19 (13).jpg,No Impairment,No Impairment,True
19 (17).jpg,No Impairment,Mild Impairment,False
19 (19).jpg,No Impairment,No Impairment,True
19 (2).jpg,No Impairment,Very Mild Impairment,False
19 (32).jpg,No Impairment,Mild Impairment,False
19 (36).jpg,No Impairment,No Impairment,True
19 (43).jpg,No Impairment,No Impairment,True
19 (45).jpg,No Impairment,Mild Impairment,False
19 (49).jpg,No Impairment,No Impairment,True
19 (5).jpg,No Impairment,No Impairment,True
19 (54).jpg,No Impairment,No Impairment,True
19 (56).jpg,No Impairment,Very Mild Impairment,False
19 (57).jpg,No Impairment,No Impairment,True
19 (58).jpg,No Impairment,No Impairment,True
19 (59).jpg,No Impairment,No Impairment,True
19 (6).jpg,No Impairment,No Impairment,True
19 (65).jpg,No Impairment,No Impairment,True
19 (7).jpg,No Impairment,Moderate Impairment,False
19 (77).jpg,No Impairment,No Impairment,True
19 (8).jpg,No Impairment,Mild Impairment,False
19 (81).jpg,No Impairment,No Impairment,True
19 (82).jpg,No Impairment,No Impairment,True
19 (84).jpg,No Impairment,Very Mild Impairment,False
19 (88).jpg,No Impairment,Mild Impairment,False
19 (9).jpg,No Impairment,No Impairment,True
2 (100).jpg,No Impairment,Mild Impairment,False
2 (11).jpg,No Impairment,Moderate Impairment,False
2 (15).jpg,No Impairment,Mild Impairment,False
2 (18).jpg,No Impairment,No Impairment,True
2 (19).jpg,No Impairment,Mild Impairment,False
2 (22).jpg,No Impairment,Mild Impairment,False
2 (30).jpg,No Impairment,Very Mild Impairment,False
2 (42).jpg,No Impairment,Very Mild Impairment,False
2 (48).jpg,No Impairment,Mild Impairment,False
2 (53).jpg,No Impairment,No Impairment,True
2 (54).jpg,No Impairment,Very Mild Impairment,False
2 (61).jpg,No Impairment,Very Mild Impairment,False
2 (64).jpg,No Impairment,Mild Impairment,False
2 (69).jpg,No Impairment,No Impairment,True
2 (79).jpg,No Impairment,Mild Impairment,False
2 (80).jpg,No Impairment,No Impairment,True
2 (85).jpg,No Impairment,Very Mild Impairment,False
2 (90).jpg,No Impairment,No Impairment,True
2 (95).jpg,No Impairment,Mild Impairment,False
2 (96).jpg,No Impairment,Moderate Impairment,False
2.jpg,No Impairment,No Impairment,True
20 (13).jpg,No Impairment,No Impairment,True
20 (20).jpg,No Impairment,Mild Impairment,False
20 (29).jpg,No Impairment,Mild Impairment,False
20 (3).jpg,No Impairment,Very Mild Impairment,False
20 (39).jpg,No Impairment,No Impairment,True
20 (4).jpg,No Impairment,No Impairment,True
20 (41).jpg,No Impairment,No Impairment,True
20 (42).jpg,No Impairment,Very Mild Impairment,False
20 (45).jpg,No Impairment,Very Mild Impairment,False
20 (46).jpg,No Impairment,Mild Impairment,False
20 (54).jpg,No Impairment,No Impairment,True
20 (55).jpg,No Impairment,Very Mild Impairment,False
20 (58).jpg,No Impairment,No Impairment,True
20 (66).jpg,No Impairment,No Impairment,True
20 (72).jpg,No Impairment,Mild Impairment,False
20 (77).jpg,No Impairment,No Impairment,True
20 (84).jpg,No Impairment,Mild Impairment,False
21 (25).jpg,No Impairment,Mild Impairment,False
21 (27).jpg,No Impairment,Mild Impairment,False
21 (28).jpg,No Impairment,No Impairment,True
21 (36).jpg,No Impairment,Mild Impairment,False
21 (41).jpg,No Impairment,No Impairment,True
21 (43).jpg,No Impairment,No Impairment,True
21 (45).jpg,No Impairment,No Impairment,True
21 (47).jpg,No Impairment,No Impairment,True
21 (5).jpg,No Impairment,No Impairment,True
21 (52).jpg,No Impairment,Mild Impairment,False
21 (56).jpg,No Impairment,Mild Impairment,False
21 (64).jpg,No Impairment,No Impairment,True
21 (73).jpg,No Impairment,Mild Impairment,False
21 (82).jpg,No Impairment,No Impairment,True
21 (93).jpg,No Impairment,No Impairment,True
21 (94).jpg,No Impairment,Mild Impairment,False
21 (97).jpg,No Impairment,No Impairment,True
22 (100).jpg,No Impairment,No Impairment,True
22 (15).jpg,No Impairment,No Impairment,True
22 (19).jpg,No Impairment,No Impairment,True
22 (2).jpg,No Impairment,No Impairment,True
22 (22).jpg,No Impairment,Very Mild Impairment,False
22 (29).jpg,No Impairment,Mild Impairment,False
22 (30).jpg,No Impairment,No Impairment,True
22 (34).jpg,No Impairment,No Impairment,True
22 (35).jpg,No Impairment,Moderate Impairment,False
22 (41).jpg,No Impairment,No Impairment,True
22 (47).jpg,No Impairment,No Impairment,True
22 (5).jpg,No Impairment,No Impairment,True
22 (55).jpg,No Impairment,No Impairment,True
22 (61).jpg,No Impairment,Very Mild Impairment,False
22 (65).jpg,No Impairment,No Impairment,True
22 (78).jpg,No Impairment,No Impairment,True
22 (8).jpg,No Impairment,No Impairment,True
22 (85).jpg,No Impairment,No Impairment,True
22 (86).jpg,No Impairment,No Impairment,True
22 (90).jpg,No Impairment,No Impairment,True
22 (96).jpg,No Impairment,No Impairment,True
22 (99).jpg,No Impairment,No Impairment,True
23 (19).jpg,No Impairment,No Impairment,True
23 (20).jpg,No Impairment,Mild Impairment,False
23 (32).jpg,No Impairment,Very Mild Impairment,False
23 (4).jpg,No Impairment,No Impairment,True
23 (40).jpg,No Impairment,No Impairment,True
23 (51).jpg,No Impairment,No Impairment,True
23 (65).jpg,No Impairment,No Impairment,True
23 (73).jpg,No Impairment,Mild Impairment,False
23 (74).jpg,No Impairment,Very Mild Impairment,False
23 (76).jpg,No Impairment,No Impairment,True
23 (81).jpg,No Impairment,No Impairment,True
23 (85).jpg,No Impairment,No Impairment,True
23 (86).jpg,No Impairment,No Impairment,True
23 (87).jpg,No Impairment,No Impairment,True
23 (9).jpg,No Impairment,Mild Impairment,False
23 (91).jpg,No Impairment,No Impairment,True
23 (92).jpg,No Impairment,No Impairment,True
24 (12).jpg,No Impairment,No Impairment,True
24 (13).jpg,No Impairment,No Impairment,True
24 (14).jpg,No Impairment,No Impairment,True
24 (17).jpg,No Impairment,Mild Impairment,False
24 (18).jpg,No Impairment,No Impairment,True
24 (25).jpg,No Impairment,Mild Impairment,False
24 (31).jpg,No Impairment,Mild Impairment,False
24 (32).jpg,No Impairment,No Impairment,True
24 (36).jpg,No Impairment,Mild Impairment,False
24 (38).jpg,No Impairment,No Impairment,True
24 (4).jpg,No Impairment,No Impairment,True
24 (41).jpg,No Impairment,Mild Impairment,False
24 (43).jpg,No Impairment,Mild Impairment,False
24 (69).jpg,No Impairment,No Impairment,True
24 (7).jpg,No Impairment,No Impairment,True
24 (72).jpg,No Impairment,No Impairment,True
24 (82).jpg,No Impairment,No Impairment,True
25 (100).jpg,No Impairment,No Impairment,True
25 (11).jpg,No Impairment,No Impairment,True
25 (13).jpg,No Impairment,No Impairment,True
25 (16).jpg,No Impairment,No Impairment,True
25 (29).jpg,No Impairment,Mild Impairment,False
25 (30).jpg,No Impairment,Very Mild Impairment,False
25 (31).jpg,No Impairment,Very Mild Impairment,False
25 (36).jpg,No Impairment,Mild Impairment,False
25 (38).jpg,No Impairment,Very Mild Impairment,False
25 (49).jpg,No Impairment,No Impairment,True
25 (5).jpg,No Impairment,No Impairment,True
25 (53).jpg,No Impairment,No Impairment,True
25 (56).jpg,No Impairment,Mild Impairment,False
25 (57).jpg,No Impairment,Very Mild Impairment,False
25 (59).jpg,No Impairment,No Impairment,True
25 (63).jpg,No Impairment,No Impairment,True
25 (70).jpg,No Impairment,No Impairment,True
25 (74).jpg,No Impairment,No Impairment,True
25 (76).jpg,No Impairment,No Impairment,True
25 (78).jpg,No Impairment,No Impairment,True
25 (84).jpg,No Impairment,Mild Impairment,False
25 (85).jpg,No Impairment,No Impairment,True
25 (86).jpg,No Impairment,No Impairment,True
25 (87).jpg,No Impairment,No Impairment,True
25 (9).jpg,No Impairment,No Impairment,True
26 (100).jpg,No Impairment,Very Mild Impairment,False
26 (13).jpg,No Impairment,No Impairment,True
26 (14).jpg,No Impairment,Mild Impairment,False
26 (27).jpg,No Impairment,Mild Impairment,False
26 (29).jpg,No Impairment,Very Mild Impairment,False
26 (37).jpg,No Impairment,No Impairment,True
26 (40).jpg,No Impairment,No Impairment,True
26 (51).jpg,No Impairment,No Impairment,True
26 (55).jpg,No Impairment,No Impairment,True
26 (61).jpg,No Impairment,No Impairment,True
26 (68).jpg,No Impairment,Very Mild Impairment,False
26 (80).jpg,No Impairment,No Impairment,True
26 (81).jpg,No Impairment,No Impairment,True
26 (83).jpg,No Impairment,No Impairment,True
26 (9).jpg,No Impairment,No Impairment,True
26 (93).jpg,No Impairment,No Impairment,True
26 (99).jpg,No Impairment,No Impairment,True
27 (16).jpg,No Impairment,Mild Impairment,False
27 (20).jpg,No Impairment,No Impairment,True
27 (24).jpg,No Impairment,Mild Impairment,False
27 (29).jpg,No Impairment,Mild Impairment,False
27 (32).jpg,No Impairment,No Impairment,True
27 (34).jpg,No Impairment,No Impairment,True
27 (38).jpg,No Impairment,No Impairment,True
27 (48).jpg,No Impairment,No Impairment,True
27 (5).jpg,No Impairment,No Impairment,True
27 (66).jpg,No Impairment,No Impairment,True
27 (67).jpg,No Impairment,No Impairment,True
27 (7).jpg,No Impairment,No Impairment,True
27 (70).jpg,No Impairment,No Impairment,True
27 (72).jpg,No Impairment,Mild Impairment,False
27 (74).jpg,No Impairment,No Impairment,True
27 (82).jpg,No Impairment,Very Mild Impairment,False
27 (83).jpg,No Impairment,No Impairment,True
27 (89).jpg,No Impairment,Mild Impairment,False
27 (92).jpg,No Impairment,No Impairment,True
27 (97).jpg,No Impairment,Very Mild Impairment,False
28 (12).jpg,No Impairment,No Impairment,True
28 (14).jpg,No Impairment,No Impairment,True
28 (16).jpg,No Impairment,Mild Impairment,False
28 (21).jpg,No Impairment,No Impairment,True
28 (25).jpg,No Impairment,Mild Impairment,False
28 (27).jpg,No Impairment,No Impairment,True
28 (31).jpg,No Impairment,Mild Impairment,False
28 (32).jpg,No Impairment,No Impairment,True
28 (33).jpg,No Impairment,Mild Impairment,False
28 (38).jpg,No Impairment,No Impairment,True
28 (39).jpg,No Impairment,No Impairment,True
28 (42).jpg,No Impairment,No Impairment,True
28 (53).jpg,No Impairment,No Impairment,True
28 (59).jpg,No Impairment,No Impairment,True
28 (60).jpg,No Impairment,No Impairment,True
28 (64).jpg,No Impairment,No Impairment,True
28 (72).jpg,No Impairment,Mild Impairment,False
28 (73).jpg,No Impairment,Mild Impairment,False
28 (80).jpg,No Impairment,No Impairment,True
29 (100).jpg,No Impairment,Very Mild Impairment,False
29 (14).jpg,No Impairment,No Impairment,True
29 (15).jpg,No Impairment,No Impairment,True
29 (16).jpg,No Impairment,No Impairment,True
29 (19).jpg,No Impairment,No Impairment,True
29 (20).jpg,No Impairment,No Impairment,True
29 (29).jpg,No Impairment,Moderate Impairment,False
29 (41).jpg,No Impairment,Mild Impairment,False
29 (42).jpg,No Impairment,No Impairment,True
29 (63).jpg,No Impairment,Mild Impairment,False
29 (64).jpg,No Impairment,Very Mild Impairment,False
29 (67).jpg,No Impairment,No Impairment,True
29 (72).jpg,No Impairment,No Impairment,True
29 (76).jpg,No Impairment,No Impairment,True
29 (78).jpg,No Impairment,Mild Impairment,False
29 (79).jpg,No Impairment,No Impairment,True
29 (83).jpg,No Impairment,No Impairment,True
29 (88).jpg,No Impairment,No Impairment,True
29 (99).jpg,No Impairment,No Impairment,True
3 (12).jpg,No Impairment,No Impairment,True
3 (13).jpg,No Impairment,Moderate Impairment,False
3 (2).jpg,No Impairment,No Impairment,True
3 (20).jpg,No Impairment,Very Mild Impairment,False
3 (32).jpg,No Impairment,No Impairment,True
3 (35).jpg,No Impairment,Moderate Impairment,False
3 (4).jpg,No Impairment,Mild Impairment,False
3 (40).jpg,No Impairment,Very Mild Impairment,False
3 (42).jpg,No Impairment,Very Mild Impairment,False
3 (43).jpg,No Impairment,No Impairment,True
3 (53).jpg,No Impairment,No Impairment,True
3 (58).jpg,No Impairment,Very Mild Impairment,False
3 (59).jpg,No Impairment,Mild Impairment,False
3 (60).jpg,No Impairment,Mild Impairment,False
3 (71).jpg,No Impairment,Moderate Impairment,False
